MASK-ch,f_c[kHz],f_b[kHz], masked
1,19.500 ,21.813 ,0
2,21.813 ,24.125 ,0
3,24.125 ,26.438 ,0
4,26.438 ,28.750 ,0
5,28.750 ,31.063 ,0
6,31.063 ,33.375 ,0
7,33.375 ,35.688 ,0
8,35.688 ,38.000 ,0
9,38.000 ,40.313 ,0
10,40.313 ,42.625 ,0
11,42.625 ,44.938 ,0
12,44.938 ,47.250 ,0
13,47.250 ,49.563 ,0
14,49.563 ,51.875 ,0
15,51.875 ,54.188 ,0
16,54.188 ,56.500 ,0
17,56.500 ,58.813 ,0
18,58.813 ,61.125 ,0
19,61.125 ,63.438 ,0
20,63.438 ,65.750 ,0
21,65.750 ,68.063 ,0
22,68.063 ,70.375 ,0
23,70.375 ,72.688 ,0
24,72.688 ,75.000 ,0
25,75.000 ,77.313 ,0
26,77.313 ,79.625 ,0
27,79.625 ,81.938 ,0
28,81.938 ,84.250 ,0
29,84.250 ,86.563 ,0
30,86.563 ,88.875 ,0
31,88.875 ,91.188 ,0
32,91.188 ,93.500 ,0
33,93.500 ,95.813 ,0
34,95.813 ,98.125 ,0
35,98.125 ,100.438 ,0
36,100.438 ,102.750 ,0
37,102.750 ,105.063 ,0
38,105.063 ,107.375 ,0
39,107.375 ,109.688 ,0
40,109.688 ,112.000 ,0
41,112.000 ,114.313 ,0
42,114.313 ,116.625 ,0
43,116.625 ,118.938 ,0
44,118.938 ,121.250 ,0
45,121.250 ,123.563 ,0
46,123.563 ,125.875 ,0
47,125.875 ,128.188 ,0
48,128.188 ,130.500 ,0
49,130.500 ,132.813 ,0
50,132.813 ,135.125 ,0
51,135.125 ,137.438 ,0
52,137.438 ,139.750 ,0
53,139.750 ,142.063 ,0
54,142.063 ,144.375 ,0
55,144.375 ,146.688 ,0
56,146.688 ,149.000 ,0
57,149.000 ,151.313 ,0
58,151.313 ,153.625 ,0
59,153.625 ,155.938 ,0
60,155.938 ,158.250 ,0
61,158.250 ,160.563 ,0
62,160.563 ,162.875 ,0
63,162.875 ,165.188 ,0
64,165.188 ,167.500 ,0
65,167.500 ,169.813 ,0
66,169.813 ,172.125 ,0
67,172.125 ,174.438 ,0
68,174.438 ,176.750 ,0
69,176.750 ,179.063 ,0
70,179.063 ,181.375 ,0
71,181.375 ,183.688 ,0
72,183.688 ,186.000 ,0
73,186.000 ,188.313 ,0
74,188.313 ,190.625 ,0
75,190.625 ,192.938 ,0
76,192.938 ,195.250 ,1
77,195.250 ,197.563 ,0
78,197.563 ,199.875 ,1
79,199.875 ,202.188 ,1
80,202.188 ,204.500 ,0
81,204.500 ,206.813 ,1
82,206.813 ,209.125 ,0
83,209.125 ,211.438 ,0
84,211.438 ,213.750 ,0
85,213.750 ,216.063 ,0
86,216.063 ,218.375 ,0
87,218.375 ,220.688 ,0
88,220.688 ,223.000 ,0
89,223.000 ,225.313 ,0
90,225.313 ,227.625 ,0
91,227.625 ,229.938 ,0
92,229.938 ,232.250 ,0
93,232.250 ,234.563 ,0
94,234.563 ,236.875 ,0
95,236.875 ,239.188 ,0
96,239.188 ,241.500 ,0
97,241.500 ,243.813 ,0
98,243.813 ,246.125 ,0
99,246.125 ,248.438 ,0
100,248.438 ,250.750 ,1
101,250.750 ,253.063 ,0
102,253.063 ,255.375 ,0
103,255.375 ,257.688 ,0
104,257.688 ,260.000 ,0
105,260.000 ,262.313 ,0
106,262.313 ,264.625 ,0
107,264.625 ,266.938 ,0
108,266.938 ,269.250 ,0
109,269.250 ,271.563 ,0
110,271.563 ,273.875 ,0
111,273.875 ,276.188 ,0
112,276.188 ,278.500 ,0
113,278.500 ,280.813 ,0
114,280.813 ,283.125 ,0
115,283.125 ,285.438 ,0
116,285.438 ,287.750 ,0
117,287.750 ,290.063 ,0
118,290.063 ,292.375 ,0
119,292.375 ,294.688 ,0
120,294.688 ,297.000 ,0
121,297.000 ,299.313 ,0
122,299.313 ,301.625 ,0
123,301.625 ,303.938 ,0
124,303.938 ,306.250 ,0
125,306.250 ,308.563 ,0
126,308.563 ,310.875 ,0
127,310.875 ,313.188 ,0
128,313.188 ,315.500 ,0
129,315.500 ,317.813 ,0
130,317.813 ,320.125 ,0
131,320.125 ,322.438 ,0
132,322.438 ,324.750 ,0
133,324.750 ,327.063 ,0
134,327.063 ,329.375 ,0
135,329.375 ,331.688 ,0
136,331.688 ,334.000 ,0
137,334.000 ,336.313 ,0
138,336.313 ,338.625 ,0
139,338.625 ,340.938 ,0
